,GeneName
ENSMUSG00000018363,Smurf2
ENSMUSG00000018377,Vezf1
ENSMUSG00000018378,Cuedc1
ENSMUSG00000018379,Srsf1
ENSMUSG00000018381,Abi3
ENSMUSG00000018395,Kif3a
ENSMUSG00000018398,Septin8
ENSMUSG00000018405,Mrm1
ENSMUSG00000018411,Mapt
ENSMUSG00000018412,Kansl1
ENSMUSG00000018415,Gid4
ENSMUSG00000018427,Ypel2
ENSMUSG00000018442,Derl2
ENSMUSG00000018446,C1qbp
ENSMUSG00000018451,6330403K07Rik
ENSMUSG00000018476,Kdm6b
ENSMUSG00000018481,Appbp2
ENSMUSG00000018501,Ncor1
ENSMUSG00000018507,Trpv2
ENSMUSG00000018509,Cenpv
ENSMUSG00000018541,Cwc25
ENSMUSG00000018548,Trim37
ENSMUSG00000018559,Ctdnep1
ENSMUSG00000018565,Elp5
ENSMUSG00000018567,Gabarap
ENSMUSG00000018572,Phf23
ENSMUSG00000018583,G3bp1
ENSMUSG00000018585,Atox1
ENSMUSG00000018634,Crhr1
ENSMUSG00000018659,Pnpo
ENSMUSG00000018661,Cog1
ENSMUSG00000018666,Cbx1
ENSMUSG00000018669,Cdk5rap3
ENSMUSG00000018677,Slc25a39
ENSMUSG00000018678,Sp2
ENSMUSG00000018707,Dync1h1
ENSMUSG00000018736,Ndel1
ENSMUSG00000018740,Slc25a35
ENSMUSG00000018750,Zbtb4
ENSMUSG00000018761,Mpdu1
ENSMUSG00000018765,Fxr2
ENSMUSG00000018770,Atp5g3
ENSMUSG00000018800,Abca5
ENSMUSG00000018809,Smyd4
ENSMUSG00000018820,Zfyve27
ENSMUSG00000018821,Avpi1
ENSMUSG00000018846,Pank3
ENSMUSG00000018849,Wwc1
ENSMUSG00000018858,Mrpl58
ENSMUSG00000018861,Fdxr
ENSMUSG00000018865,Sult4a1
ENSMUSG00000018882,Mrpl45
ENSMUSG00000018909,Arrb1
ENSMUSG00000018921,Pelp1
ENSMUSG00000018931,Natd1
ENSMUSG00000018932,Map2k3
ENSMUSG00000018965,Ywhah
ENSMUSG00000018983,E2f2
ENSMUSG00000019039,Dalrd3
ENSMUSG00000019054,Fis1
ENSMUSG00000019066,Rab3d
ENSMUSG00000019082,Slc25a22
ENSMUSG00000019088,Dnase1l1
ENSMUSG00000019124,Scrn1
ENSMUSG00000019132,BC005537
ENSMUSG00000019143,Hars2
ENSMUSG00000019146,Cacng2
ENSMUSG00000019158,Tmem160
ENSMUSG00000019173,Rab5c
ENSMUSG00000019179,Mdh2
ENSMUSG00000019188,H13
ENSMUSG00000019194,Scn1b
ENSMUSG00000019210,Atp6v1e1
ENSMUSG00000019214,Chtf18
ENSMUSG00000019235,Rps6kl1
ENSMUSG00000019254,Ppp1r12c
ENSMUSG00000019261,Map1s
ENSMUSG00000019302,Atp6v0a1
ENSMUSG00000019362,D8Ertd738e
ENSMUSG00000019370,Calm3
ENSMUSG00000019373,Cops3
ENSMUSG00000019428,Fkbp8
ENSMUSG00000019432,Ddx39b
ENSMUSG00000019433,Gipc1
ENSMUSG00000019471,Cdc37
ENSMUSG00000019478,Rab4a
ENSMUSG00000019494,Cops6
ENSMUSG00000019505,Ubb
ENSMUSG00000019518,Ap4m1
ENSMUSG00000019528,Gyg
ENSMUSG00000019558,Slc6a8
ENSMUSG00000019579,Mydgf
ENSMUSG00000019590,Cyb561
ENSMUSG00000019659,Ccdc12
ENSMUSG00000019689,Fmc1
ENSMUSG00000019699,Akt3
ENSMUSG00000019718,L3hypdh
ENSMUSG00000019726,Lyst
ENSMUSG00000019734,Tmc4
ENSMUSG00000019738,Polr2i
ENSMUSG00000019763,Rmnd1
ENSMUSG00000019774,Mtrf1l
ENSMUSG00000019775,Rgs17
ENSMUSG00000019782,Rwdd1
ENSMUSG00000019790,Stxbp5
ENSMUSG00000019791,Hint3
ENSMUSG00000019795,Pcmt1
ENSMUSG00000019796,Lrp11
ENSMUSG00000019797,Mtres1
ENSMUSG00000019804,Snx3
ENSMUSG00000019808,Adat2
ENSMUSG00000019809,Pex3
ENSMUSG00000019818,Cd164
ENSMUSG00000019826,Zbtb24
ENSMUSG00000019831,Wasf1
ENSMUSG00000019837,Gtf3c6
ENSMUSG00000019841,Rev3l
ENSMUSG00000019843,Fyn
ENSMUSG00000019849,Prep
ENSMUSG00000019852,Arfgef3
ENSMUSG00000019853,Hebp2
ENSMUSG00000019854,Reps1
ENSMUSG00000019857,Asf1a
ENSMUSG00000019861,Gopc
ENSMUSG00000019868,Vta1
ENSMUSG00000019872,Smpdl3a
ENSMUSG00000019877,Serinc1
ENSMUSG00000019880,Rspo3
ENSMUSG00000019883,Echdc1
ENSMUSG00000019894,Slc6a15
ENSMUSG00000019897,Ccdc59
ENSMUSG00000019906,Lin7a
ENSMUSG00000019916,P4ha1
ENSMUSG00000019923,Zwint
ENSMUSG00000019927,Ube2d1
ENSMUSG00000019943,Atp2b1
ENSMUSG00000019944,Rhobtb1
ENSMUSG00000019948,Actr6
ENSMUSG00000019951,Uhrf1bp1l
ENSMUSG00000019966,Kitl
ENSMUSG00000019969,Psen1
ENSMUSG00000019977,Hbs1l
ENSMUSG00000019978,Epb41l2
ENSMUSG00000019986,Ahi1
ENSMUSG00000019998,Stx7
ENSMUSG00000020018,Snrpf
ENSMUSG00000020022,Ndufa12
ENSMUSG00000020024,Cep83
ENSMUSG00000020027,Socs2
ENSMUSG00000020029,Nudt4
ENSMUSG00000020032,Nuak1
ENSMUSG00000020053,Igf1
ENSMUSG00000020069,Hnrnph3
ENSMUSG00000020070,Rufy2
ENSMUSG00000020074,Ccar1
ENSMUSG00000020076,Ddx50
ENSMUSG00000020083,Fam241b
ENSMUSG00000020086,Macroh2a2
ENSMUSG00000020088,Sar1a
ENSMUSG00000020089,Ppa1
ENSMUSG00000020091,Eif4ebp2
ENSMUSG00000020092,Pald1
ENSMUSG00000020098,Pcbd1
ENSMUSG00000020107,Anapc16
ENSMUSG00000020108,Ddit4
ENSMUSG00000020109,Dnajb12
ENSMUSG00000020116,Pno1
ENSMUSG00000020121,Srgap1
ENSMUSG00000020124,Usp15
ENSMUSG00000020128,Vps54
ENSMUSG00000020131,Pcsk4
ENSMUSG00000020132,Rab21
ENSMUSG00000020133,2310011J03Rik
ENSMUSG00000020134,Peli1
ENSMUSG00000020135,Apc2
ENSMUSG00000020140,Lgr5
ENSMUSG00000020142,Slc1a4
ENSMUSG00000020149,Rab1a
ENSMUSG00000020152,Actr2
ENSMUSG00000020153,Ndufs7
ENSMUSG00000020163,Uqcr11
ENSMUSG00000020170,Frs2
ENSMUSG00000020171,Yeats4
ENSMUSG00000020175,Rab36
ENSMUSG00000020176,Grb10
ENSMUSG00000020180,Snrpd3
ENSMUSG00000020181,Nav3
ENSMUSG00000020183,Cpm
ENSMUSG00000020184,Mdm2
ENSMUSG00000020189,Osbpl8
ENSMUSG00000020196,Cabin1
ENSMUSG00000020198,Ap3d1
ENSMUSG00000020212,Mdm1
ENSMUSG00000020216,Jsrp1
ENSMUSG00000020219,Timm13
ENSMUSG00000020224,Llph
ENSMUSG00000020230,Prmt2
ENSMUSG00000020235,Fzr1
ENSMUSG00000020238,Ncln
ENSMUSG00000020248,Nfyb
ENSMUSG00000020250,Txnrd1
ENSMUSG00000020255,Nopchap1
ENSMUSG00000020260,Pofut2
ENSMUSG00000020261,Slc36a1
ENSMUSG00000020262,Adarb1
ENSMUSG00000020265,Sumo3
ENSMUSG00000020267,Hint1
ENSMUSG00000020268,Lyrm7
ENSMUSG00000020271,Fbxw11
ENSMUSG00000020273,Papolg
ENSMUSG00000020283,Pex13
ENSMUSG00000020284,Cfap410
ENSMUSG00000020287,Mpg
ENSMUSG00000020288,Ahsa2
ENSMUSG00000020289,Nprl3
ENSMUSG00000020297,Nsg2
ENSMUSG00000020300,Cpeb4
ENSMUSG00000020307,Cdc34
ENSMUSG00000020309,Chac2
ENSMUSG00000020312,Shc2
ENSMUSG00000020315,Sptbn1
ENSMUSG00000020321,Mdh1
ENSMUSG00000020328,Nudcd2
ENSMUSG00000020340,Cyfip2
ENSMUSG00000020349,Ppp2ca
ENSMUSG00000020358,Hnrnpab
ENSMUSG00000020359,Phykpl
ENSMUSG00000020363,Gfpt2
ENSMUSG00000020366,Mapk9
ENSMUSG00000020368,Canx
ENSMUSG00000020372,Rack1
ENSMUSG00000020374,Rasgef1c
ENSMUSG00000020376,Rnf130
ENSMUSG00000020381,Mrnip
ENSMUSG00000020386,Sar1b
ENSMUSG00000020388,Pdlim4
ENSMUSG00000020390,Ube2b
ENSMUSG00000020392,Cdkn2aipnl
ENSMUSG00000020397,Med7
ENSMUSG00000020400,Tnip1
ENSMUSG00000020402,Vdac1
ENSMUSG00000020412,Ascc2
ENSMUSG00000020413,Hus1
ENSMUSG00000020430,Pes1
ENSMUSG00000020431,Adcy1
ENSMUSG00000020439,Smtn
ENSMUSG00000020440,Arf5
ENSMUSG00000020441,2310033P09Rik
ENSMUSG00000020444,Guk1
ENSMUSG00000020453,Patz1
ENSMUSG00000020456,Ogdh
ENSMUSG00000020457,Drg1
ENSMUSG00000020458,Rtn4
ENSMUSG00000020459,Mtif2
ENSMUSG00000020460,Rps27a
ENSMUSG00000020462,Cfap36
ENSMUSG00000020476,Dbnl
ENSMUSG00000020477,Mrps24
ENSMUSG00000020483,Dynll2
ENSMUSG00000020484,Xbp1
ENSMUSG00000020485,Supt4a
ENSMUSG00000020491,2810021J22Rik
ENSMUSG00000020496,Rnf187
ENSMUSG00000020516,Rps6kb1
ENSMUSG00000020519,Sap30l
ENSMUSG00000020520,Galnt10
ENSMUSG00000020521,Rnft1
ENSMUSG00000020523,Fam114a2
ENSMUSG00000020526,Znhit3
ENSMUSG00000020530,Ggnbp2
ENSMUSG00000020532,Acaca
ENSMUSG00000020537,Drg2
ENSMUSG00000020541,Tom1l1
ENSMUSG00000020544,Cox11
ENSMUSG00000020547,Bzw2
ENSMUSG00000020549,Elac2
ENSMUSG00000020561,Polr1f
ENSMUSG00000020571,Pdia6
ENSMUSG00000020572,Nampt
ENSMUSG00000020577,Tspan13
ENSMUSG00000020580,Rock2
ENSMUSG00000020589,Cyria
ENSMUSG00000020590,Snx13
ENSMUSG00000020593,Lpin1
ENSMUSG00000020594,Pum2
ENSMUSG00000020605,Hs1bp3
ENSMUSG00000020608,Smc6
ENSMUSG00000020610,Amz2
ENSMUSG00000020611,Gna13
ENSMUSG00000020612,Prkar1a
ENSMUSG00000020621,Rdh14
ENSMUSG00000020623,Map2k6
ENSMUSG00000020628,Trappc12
ENSMUSG00000020634,Ubxn2a
ENSMUSG00000020635,Fkbp1b
ENSMUSG00000020638,Cmpk2
ENSMUSG00000020639,Pfn4
ENSMUSG00000020642,Rnf144a
ENSMUSG00000020644,Id2
ENSMUSG00000020646,Mboat2
ENSMUSG00000020650,Bcap29
ENSMUSG00000020652,Cenpo
ENSMUSG00000020654,Adcy3
ENSMUSG00000020657,Dnajc27
ENSMUSG00000020658,Efr3b
ENSMUSG00000020659,Cbll1
ENSMUSG00000020660,Pomc
ENSMUSG00000020661,Dnmt3a
ENSMUSG00000020664,Dld
ENSMUSG00000020669,Sh3yl1
ENSMUSG00000020671,Rab10
ENSMUSG00000020684,Rasl10b
ENSMUSG00000020691,Mettl2
ENSMUSG00000020694,Tlk2
ENSMUSG00000020701,Tmem132e
ENSMUSG00000020708,Psmc5
ENSMUSG00000020718,Polg2
ENSMUSG00000020719,Ddx5
ENSMUSG00000020720,Psmd12
ENSMUSG00000020721,Helz
ENSMUSG00000020723,Cacng4
ENSMUSG00000020737,Jpt1
ENSMUSG00000020741,Cluh
ENSMUSG00000020743,Mif4gd
ENSMUSG00000020744,Slc25a19
ENSMUSG00000020745,Pafah1b1
ENSMUSG00000020755,Sap30bp
ENSMUSG00000020766,Galk1
ENSMUSG00000020770,Unk
ENSMUSG00000020775,Mrpl38
ENSMUSG00000020776,Fbf1
ENSMUSG00000020777,Acox1
ENSMUSG00000020778,Ten1
ENSMUSG00000020781,Tsen54
ENSMUSG00000020783,Ncbp3
ENSMUSG00000020790,Ankfy1
ENSMUSG00000020792,Exoc7
ENSMUSG00000020794,Ube2g1
ENSMUSG00000020802,Ube2o
ENSMUSG00000020803,Txndc17
ENSMUSG00000020810,Cygb
ENSMUSG00000020811,Wscd1
ENSMUSG00000020814,Mxra7
ENSMUSG00000020817,Rabep1
ENSMUSG00000020818,Mfsd11
ENSMUSG00000020823,Sec14l1
ENSMUSG00000020827,Mink1
ENSMUSG00000020834,Dhrs13
ENSMUSG00000020836,Coro6
ENSMUSG00000020840,Blmh
ENSMUSG00000020843,Timm22
ENSMUSG00000020846,Rflnb
ENSMUSG00000020848,Doc2b
ENSMUSG00000020849,Ywhae
ENSMUSG00000020857,Nme2
ENSMUSG00000020859,Spag9
ENSMUSG00000020863,Luc7l3
ENSMUSG00000020864,Ankrd40
ENSMUSG00000020869,Lrrc59
ENSMUSG00000020873,Slc35b1
ENSMUSG00000020876,Snx11
ENSMUSG00000020882,Cacnb1
ENSMUSG00000020886,Dlg4
ENSMUSG00000020888,Dvl2
ENSMUSG00000020891,Alox8
ENSMUSG00000020894,Vamp2
ENSMUSG00000020900,Myh10
ENSMUSG00000020903,Stx8
ENSMUSG00000020905,Usp43
ENSMUSG00000020918,Kat2a
ENSMUSG00000020921,Tmem101
ENSMUSG00000020922,Lsm12
ENSMUSG00000020925,Ccdc43
ENSMUSG00000020926,Adam11
ENSMUSG00000020929,Eftud2
ENSMUSG00000020932,Gfap
ENSMUSG00000020935,Dcakd
ENSMUSG00000020936,Nmt1
ENSMUSG00000020940,Efcab15
ENSMUSG00000020941,Map3k14
ENSMUSG00000020946,Gosr2
ENSMUSG00000020948,Klhl28
ENSMUSG00000020949,Fkbp3
ENSMUSG00000020952,Scfd1
ENSMUSG00000020954,Strn3
ENSMUSG00000020955,Ap4s1
ENSMUSG00000020956,Dtd2
ENSMUSG00000020961,Ston2
ENSMUSG00000020962,Gtf2a1
ENSMUSG00000020973,Dnaaf2
ENSMUSG00000020978,Klhdc2
ENSMUSG00000020982,Nemf
ENSMUSG00000020986,Sec23a
ENSMUSG00000020993,Trappc6b
ENSMUSG00000021000,Mia2
ENSMUSG00000021018,Polr2h
ENSMUSG00000021022,Ppp2r3c
ENSMUSG00000021024,Psma6
ENSMUSG00000021027,Ralgapa1
ENSMUSG00000021032,Ngb
ENSMUSG00000021033,Gstz1
ENSMUSG00000021037,Ahsa1
ENSMUSG00000021038,Vipas39
ENSMUSG00000021039,Snw1
ENSMUSG00000021040,Slirp
ENSMUSG00000021044,Adck1
ENSMUSG00000021047,Nova1
ENSMUSG00000021051,Ppp2r5e
ENSMUSG00000021057,Akap5
ENSMUSG00000021062,Rab15
ENSMUSG00000021065,Fut8
ENSMUSG00000021071,Trim9
ENSMUSG00000021079,Timm9
ENSMUSG00000021087,Rtn1
ENSMUSG00000021096,Ppm1a
ENSMUSG00000021102,Glrx5
ENSMUSG00000021103,Mnat1
ENSMUSG00000021109,Hif1a
ENSMUSG00000021111,Papola
ENSMUSG00000021113,Snapc1
ENSMUSG00000021114,Atp6v1d
ENSMUSG00000021124,Vti1b
ENSMUSG00000021125,Arg2
ENSMUSG00000021130,Galnt16
ENSMUSG00000021131,Erh
ENSMUSG00000021139,Gm20498
ENSMUSG00000021143,Pacs2
ENSMUSG00000021144,Mta1
ENSMUSG00000021147,Wdr37
ENSMUSG00000021149,Gtpbp4
ENSMUSG00000021156,Zmynd11
ENSMUSG00000021177,Tdp1
ENSMUSG00000021178,Psmc1
ENSMUSG00000021179,Nrde2
ENSMUSG00000021188,Trip11
ENSMUSG00000021189,Atxn3
ENSMUSG00000021192,Golga5
ENSMUSG00000021194,Chga
ENSMUSG00000021196,Pfkp
ENSMUSG00000021203,Otub2
ENSMUSG00000021217,Tshz3
ENSMUSG00000021218,Gdi2
ENSMUSG00000021222,Dcaf4
ENSMUSG00000021240,Abcd4
ENSMUSG00000021241,Isca2
ENSMUSG00000021242,Npc2
ENSMUSG00000021244,Ylpm1
ENSMUSG00000021245,Mlh3
ENSMUSG00000021248,Tmed10
ENSMUSG00000021250,Fos
ENSMUSG00000021254,Gpatch2l
ENSMUSG00000021256,Vash1
ENSMUSG00000021258,Ccnk
ENSMUSG00000021259,Cyp46a1
ENSMUSG00000021260,Hhipl1
ENSMUSG00000021262,Evl
ENSMUSG00000021263,Degs2
ENSMUSG00000021264,Yy1
ENSMUSG00000021265,Slc25a29
ENSMUSG00000021266,Wars1
ENSMUSG00000021270,Hsp90aa1
ENSMUSG00000021273,Fdft1
ENSMUSG00000021275,Tecpr2
ENSMUSG00000021276,Cinp
ENSMUSG00000021277,Traf3
ENSMUSG00000021278,Amn
ENSMUSG00000021279,Cdc42bpb
ENSMUSG00000021282,Eif5
ENSMUSG00000021285,Ppp1r13b
ENSMUSG00000021288,Klc1
ENSMUSG00000021290,Atp5mpl
ENSMUSG00000021301,Hecw1
ENSMUSG00000021302,Ggps1
ENSMUSG00000021303,Gng4
ENSMUSG00000021314,Amph
ENSMUSG00000021326,Trim27
ENSMUSG00000021327,Zkscan3
ENSMUSG00000021339,Mrs2
ENSMUSG00000021340,Gpld1
ENSMUSG00000021357,Exoc2
ENSMUSG00000021361,Tmem14c
ENSMUSG00000021363,Mak
ENSMUSG00000021366,Hivep1
ENSMUSG00000021368,Tbc1d7
ENSMUSG00000021371,Mcur1
ENSMUSG00000021373,Cap2
ENSMUSG00000021377,Dek
ENSMUSG00000021392,Nol8
ENSMUSG00000021395,Spin1
ENSMUSG00000021413,Prpf4b
ENSMUSG00000021427,Ssr1
ENSMUSG00000021431,Snrnp48
ENSMUSG00000021451,Sema4d
ENSMUSG00000021453,Gadd45g
ENSMUSG00000021458,Aopep
ENSMUSG00000021460,Auh
ENSMUSG00000021474,Sfxn1
ENSMUSG00000021476,Habp4
ENSMUSG00000021481,Zfp346
ENSMUSG00000021482,Prxl2c
ENSMUSG00000021483,Cdk20
ENSMUSG00000021486,Prelid1
ENSMUSG00000021488,Nsd1
ENSMUSG00000021493,Pdlim7
ENSMUSG00000021494,Ddx41
ENSMUSG00000021497,Txndc15
ENSMUSG00000021514,Zfp369
ENSMUSG00000021519,Mterf3
ENSMUSG00000021534,1700001L19Rik
ENSMUSG00000021540,Smad5
ENSMUSG00000021541,Trpc7
ENSMUSG00000021546,Hnrnpk
ENSMUSG00000021548,Ccnh
ENSMUSG00000021550,2210016F16Rik
ENSMUSG00000021552,Gkap1
ENSMUSG00000021557,Agtpbp1
ENSMUSG00000021573,Tppp
ENSMUSG00000021575,Ahrr
ENSMUSG00000021576,Pdcd6
ENSMUSG00000021577,Sdha
ENSMUSG00000021578,Ccdc127
ENSMUSG00000021589,Rhobtb3
ENSMUSG00000021590,Spata9
ENSMUSG00000021594,Srd5a1
ENSMUSG00000021595,Nsun2
ENSMUSG00000021596,Mctp1
ENSMUSG00000021598,Med10
ENSMUSG00000021606,Ndufs6
ENSMUSG00000021607,Mrpl36
ENSMUSG00000021608,Lpcat1
ENSMUSG00000021610,Clptm1l
ENSMUSG00000021643,Serf1
ENSMUSG00000021647,Cartpt
ENSMUSG00000021650,Ptcd2
ENSMUSG00000021660,Btf3
ENSMUSG00000021661,Ankra2
ENSMUSG00000021666,Gfm2
ENSMUSG00000021670,Hmgcr
ENSMUSG00000021684,Pde8b
ENSMUSG00000021687,Scamp1
ENSMUSG00000021694,Ercc8
ENSMUSG00000021699,Pde4d
ENSMUSG00000021700,Rab3c
ENSMUSG00000021701,Plk2
ENSMUSG00000021704,Mtx3
ENSMUSG00000021708,Rasgrf2
ENSMUSG00000021711,Trappc13
ENSMUSG00000021712,Trim23
ENSMUSG00000021719,Rgs7bp
ENSMUSG00000021728,Emb
ENSMUSG00000021730,Hcn1
ENSMUSG00000021748,Pdhb
ENSMUSG00000021752,Kctd6
ENSMUSG00000021759,Plpp1
ENSMUSG00000021764,Ndufs4
ENSMUSG00000021770,Samd8
ENSMUSG00000021771,Vdac2
ENSMUSG00000021773,Comtd1
ENSMUSG00000021774,Ube2e1
ENSMUSG00000021775,Nr1d2
ENSMUSG00000021779,Thrb
ENSMUSG00000021782,Dlg5
ENSMUSG00000021792,Prxl2a
ENSMUSG00000021807,Rtraf
ENSMUSG00000021810,Ecd
ENSMUSG00000021811,Dnajc9
ENSMUSG00000021816,Ppp3cb
ENSMUSG00000021824,Ap3m1
ENSMUSG00000021831,Ero1a
ENSMUSG00000021832,Psmc6
ENSMUSG00000021840,Mapk1ip1l
ENSMUSG00000021890,Eaf1
ENSMUSG00000021891,Mettl6
ENSMUSG00000021892,Sh3bp5
ENSMUSG00000021893,Capn7
ENSMUSG00000021901,Bap1
ENSMUSG00000021905,Dph3
ENSMUSG00000021906,Oxnad1
ENSMUSG00000021910,Nisch
ENSMUSG00000021913,Ogdhl
ENSMUSG00000021917,Spcs1
ENSMUSG00000021918,Nek4
ENSMUSG00000021928,Ebpl
ENSMUSG00000021929,Kpna3
ENSMUSG00000021930,Spryd7
ENSMUSG00000021932,Rnaseh2b
ENSMUSG00000021936,Mapk8
ENSMUSG00000021939,Ctsb
ENSMUSG00000021947,Cryl1
ENSMUSG00000021951,Eef1akmt1
ENSMUSG00000021959,Lats2
ENSMUSG00000021963,Sap18
ENSMUSG00000021967,Mrpl57
ENSMUSG00000021973,Micu2
ENSMUSG00000021978,Extl3
ENSMUSG00000021981,Cab39l
ENSMUSG00000021982,Cdadc1
ENSMUSG00000021983,Atp8a2
ENSMUSG00000021986,Amer2
ENSMUSG00000021987,Mtmr6
ENSMUSG00000021991,Cacna2d3
ENSMUSG00000021996,Esd
ENSMUSG00000022000,Zc3h13
ENSMUSG00000022003,Slc25a30
ENSMUSG00000022010,Tsc22d1
ENSMUSG00000022013,Dnajc15
ENSMUSG00000022016,Akap11
ENSMUSG00000022021,Diaph3
ENSMUSG00000022023,Wbp4
ENSMUSG00000022024,Sugt1
ENSMUSG00000022034,Esco2
ENSMUSG00000022035,Ccdc25
ENSMUSG00000022037,Clu
ENSMUSG00000022043,Trim35
ENSMUSG00000022044,Stmn4
ENSMUSG00000022048,Dpysl2
ENSMUSG00000022051,Bnip3l
ENSMUSG00000022052,Ppp2r2a
ENSMUSG00000022054,Nefm
ENSMUSG00000022055,Nefl
ENSMUSG00000022066,Entpd4b
ENSMUSG00000022075,Rhobtb2
ENSMUSG00000022092,Ppp3cc
ENSMUSG00000022095,Fhip2b
ENSMUSG00000022096,Hr
ENSMUSG00000022099,Dmtn
ENSMUSG00000022100,Xpo7
ENSMUSG00000022105,Rb1
ENSMUSG00000022108,Itm2b
ENSMUSG00000022110,Sucla2
ENSMUSG00000022114,Spry2
ENSMUSG00000022124,Fbxl3
ENSMUSG00000022129,Dct
ENSMUSG00000022131,Gpr180
ENSMUSG00000022136,Dnajc3
ENSMUSG00000022139,Mbnl2
ENSMUSG00000022141,Nipbl
ENSMUSG00000022148,Fyb
ENSMUSG00000022151,Ttc33
ENSMUSG00000022159,Rab2b
ENSMUSG00000022160,Mettl3
ENSMUSG00000022174,Dad1
ENSMUSG00000022186,Oxct1
ENSMUSG00000022191,Drosha
ENSMUSG00000022193,Psmb5
ENSMUSG00000022194,Pabpn1
ENSMUSG00000022197,Pdzd2
ENSMUSG00000022199,Slc22a17
ENSMUSG00000022201,Zfr
ENSMUSG00000022204,Ngdn
ENSMUSG00000022205,Sub1
ENSMUSG00000022208,Jph4
ENSMUSG00000022210,Dhrs4
ENSMUSG00000022214,Dcaf11
ENSMUSG00000022223,Sdr39u1
ENSMUSG00000022234,Cct5
ENSMUSG00000022240,Ctnnd2
ENSMUSG00000022247,Brix1
ENSMUSG00000022248,Rad1
ENSMUSG00000022253,Nadk2
ENSMUSG00000022255,Mtdh
ENSMUSG00000022257,Laptm4b
ENSMUSG00000022263,Trio
ENSMUSG00000022265,Ank
ENSMUSG00000022280,Rnf19a
ENSMUSG00000022283,Pabpc1
ENSMUSG00000022285,Ywhaz
ENSMUSG00000022292,Rrm2b
ENSMUSG00000022295,Atp6v1c1
ENSMUSG00000022296,Baalc
ENSMUSG00000022307,Oxr1
ENSMUSG00000022312,Eif3h
ENSMUSG00000022329,Stk3
ENSMUSG00000022332,Khdrbs3
ENSMUSG00000022336,Eif3e
ENSMUSG00000022338,Eny2
ENSMUSG00000022340,Sybu
ENSMUSG00000022350,Washc5
ENSMUSG00000022351,Sqle
ENSMUSG00000022353,Mtss1
ENSMUSG00000022354,Ndufb9
ENSMUSG00000022359,Wdyhv1
ENSMUSG00000022360,Atad2
ENSMUSG00000022361,Zhx1
ENSMUSG00000022370,Mrpl13
ENSMUSG00000022382,Wnt7b
ENSMUSG00000022387,Brd1
ENSMUSG00000022389,Tef
ENSMUSG00000022390,Zc3h7b
ENSMUSG00000022391,Rangap1
ENSMUSG00000022400,Rbx1
ENSMUSG00000022403,St13
ENSMUSG00000022414,Tab1
ENSMUSG00000022415,Syngr1
ENSMUSG00000022416,Cacna1i
ENSMUSG00000022420,Dnal4
ENSMUSG00000022427,Tomm22
ENSMUSG00000022428,Cby1
ENSMUSG00000022433,Csnk1e
ENSMUSG00000022437,Samm50
ENSMUSG00000022442,Ttll1
ENSMUSG00000022443,Myh9
ENSMUSG00000022450,Ndufa6
ENSMUSG00000022451,Twf1
ENSMUSG00000022452,Smdt1
ENSMUSG00000022456,Septin3
ENSMUSG00000022463,Srebf2
ENSMUSG00000022472,Desi1
ENSMUSG00000022474,Pmm1
ENSMUSG00000022476,Polr3h
ENSMUSG00000022477,Aco2
ENSMUSG00000022489,Pde1b
ENSMUSG00000022490,Ppp1r1a
ENSMUSG00000022494,Shisa9
ENSMUSG00000022507,1810013L24Rik
ENSMUSG00000022515,Anks3
ENSMUSG00000022516,Nudt16l1
ENSMUSG00000022517,Mgrn1
ENSMUSG00000022521,Crebbp
ENSMUSG00000022523,Fgf12
ENSMUSG00000022526,Zfp251
ENSMUSG00000022529,Zfp263
ENSMUSG00000022537,Tmem44
ENSMUSG00000022540,Rogdi
ENSMUSG00000022545,Ercc4
ENSMUSG00000022551,Cyc1
ENSMUSG00000022552,Sharpin
ENSMUSG00000022553,Maf1
ENSMUSG00000022554,Hgh1
ENSMUSG00000022557,Bop1
ENSMUSG00000022558,Mroh1
ENSMUSG00000022564,Grina
ENSMUSG00000022565,Plec
ENSMUSG00000022568,Scrib
ENSMUSG00000022570,Gfus
ENSMUSG00000022571,Pycrl
ENSMUSG00000022574,Naprt
ENSMUSG00000022577,Ly6h
ENSMUSG00000022587,Ly6e
ENSMUSG00000022594,Lynx1
ENSMUSG00000022601,Zbtb11
ENSMUSG00000022607,Ptk2
ENSMUSG00000022610,Mapk12
ENSMUSG00000022617,Chkb
ENSMUSG00000022619,Mapk8ip2
ENSMUSG00000022621,Rabl2
ENSMUSG00000022623,Shank3
ENSMUSG00000022634,Yaf2
ENSMUSG00000022635,Zcrb1
ENSMUSG00000022658,Tagln3
ENSMUSG00000022661,Cd200
ENSMUSG00000022663,Atg3
ENSMUSG00000022668,Gtpbp8
ENSMUSG00000022677,Cep20
ENSMUSG00000022679,Mpv17l
ENSMUSG00000022680,Pdxdc1
ENSMUSG00000022681,Ntan1
ENSMUSG00000022682,Rrn3
ENSMUSG00000022684,Bfar
ENSMUSG00000022696,Sidt1
ENSMUSG00000022698,Naa50
ENSMUSG00000022702,Hira
ENSMUSG00000022706,Mrpl40
ENSMUSG00000022707,Gbe1
ENSMUSG00000022710,Usp7
ENSMUSG00000022718,Dgcr8
ENSMUSG00000022721,Trmt2a
ENSMUSG00000022742,Cpox
ENSMUSG00000022744,Cldnd1
ENSMUSG00000022748,Cmss1
ENSMUSG00000022750,Klhl22
ENSMUSG00000022752,Tomm70a
ENSMUSG00000022756,Slc7a4
ENSMUSG00000022757,Tfg
